Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Zimmermann R., Liang K.",55423994500;35113566900;,Spatialized audio streaming for networked virtual environments,2008,"MM'08 - Proceedings of the 2008 ACM International Conference on Multimedia, with co-located Symposium and Workshops",,,,299,308,,14,10.1145/1459359.1459400,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350686699&doi=10.1145%2f1459359.1459400&partnerID=40&md5=e0796a2682a930ed04b203f7767a9fce,"School of Computing, National University of Singapore, Singapore 117590, Singapore","Zimmermann, R., School of Computing, National University of Singapore, Singapore 117590, Singapore; Liang, K., School of Computing, National University of Singapore, Singapore 117590, Singapore","Networked virtual environments (NVE) are increasingly popular and represent a range of applications. Some online virtual worlds have a dedicated purpose, such as Massively Multiplayer Online Games (MMOG), while others implement more of foundational frameworks which are not necessarily applications per se, but form platforms to create applications. One of the premier examples of the latter is Second Life from Linden Lab. While such networked virtual environments show great potential for interesting and novel applications, many technical challenges remain. A significant shortcoming in current systems concerns the communication between virtual world participants. Early designs only supported text chat, while more recently voice chat has been introduced. However, often the voice communication paradigm still mimics traditional audio group conferencing without adaptation to the three-dimensional metaverse paradigm. In this study we present our design of an interactive audio streaming protocol that aims to enable the creation of an aural soundscape around the user that matches the visual experience. To make our design practical, scalable and to avoid further burdening the virtual world servers, our protocol is based on a peer-to-peer distribution topology. Simulation results are presented that show the feasibility and utility of our design. Copyright 2008 ACM.",Peer-to-peer streaming; Proximity audio; Spatial audio,Audio streaming; Current system; Distribution topology; Massively multi-player online games; Networked virtual environments; Novel applications; Peer to peer; Peer-to-peer streaming; Proximity audio; Second Life; Simulation result; Soundscapes; Spatial audio; Spatialized audio; Technical challenges; Text chat; Virtual worlds; Voice chat; Voice communication; Design; Interactive computer graphics; Method of moments; Multimedia systems; Video on demand; Virtual reality; Distributed computer systems,Conference Paper,Final,,Scopus,2-s2.0-70350686699
"Wright M., Ekeus H., Coyne R., Stewart J., Travlou P., Wright R.W., Coyne E., Williams S.",7401558540;35210451900;57203071958;35278811200;6503866036;36712841200;36711501700;57198985724;,Augmented duality: Overlapping a metaverse with the real world,2008,"Proceedings of the 2008 International Conference on Advances in Computer Entertainment Technology, ACE 2008",,,,263,266,,1,10.1145/1501750.1501812,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649397483&doi=10.1145%2f1501750.1501812&partnerID=40&md5=732905cd2ae7128425ce5e8c53d5cb21,"University of Edinburgh, Travlou - Edinburgh College of Art, United Kingdom","Wright, M., University of Edinburgh, Travlou - Edinburgh College of Art, United Kingdom; Ekeus, H., University of Edinburgh, Travlou - Edinburgh College of Art, United Kingdom; Coyne, R., University of Edinburgh, Travlou - Edinburgh College of Art, United Kingdom; Stewart, J., University of Edinburgh, Travlou - Edinburgh College of Art, United Kingdom; Travlou, P., University of Edinburgh, Travlou - Edinburgh College of Art, United Kingdom; Wright, R.W., University of Edinburgh, Travlou - Edinburgh College of Art, United Kingdom; Coyne, E., University of Edinburgh, Travlou - Edinburgh College of Art, United Kingdom; Williams, S., University of Edinburgh, Travlou - Edinburgh College of Art, United Kingdom","The advent of metaverses provide exciting opportunities for augmented reality research. We have created a number of interactions between the metaverse Second Life and the real world. Camera phone image matching creates portals and triggers the metaverse to mimic real locations. Image processing, tracking, projection and 3D video sprites create varied possibilities for people and avatars to have presence in each others worlds. We argue that these multiform contacts and overlaps between multiple points in the real world and an extensive and distinct metaverse constitute a new class of augmented reality interaction. Such a system of multiple parallel social existences may point to a mass social networking phenomenon built on the overlapping of a metaverse with the real world which we call Augmented Duality. Copyright 2008 IEEE.",Augmented reality; Metaverses; Mobile phones; Second life; Social networking,3D video; Camera Phone; Metaverses; Multiple points; Second life; Social networking; Augmented reality; Cellular radio systems; Image matching; Image processing; Mobile devices; Mobile phones; Telephone; Telephone sets; Three dimensional; Virtual reality; Wireless networks,Conference Paper,Final,,Scopus,2-s2.0-67649397483
"Ullrich S., Prendinger H., Ishizuka M.",24345177200;6701628836;35475985500;,MPML3D: Agent authoring language for virtual worlds,2008,"Proceedings of the 2008 International Conference on Advances in Computer Entertainment Technology, ACE 2008",,,,134,137,,13,10.1145/1501750.1501781,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649394298&doi=10.1145%2f1501750.1501781&partnerID=40&md5=a0e95265bc921cbec1ee1a5d85a3bac8,"National Institute of Informatics, 2-1-2 Hitotsubashi, Chiyoda-ku, Tokyo 101-8430, Japan; Virtual Reality Group, RWTH Aachen University, Seffenter Weg 23, 52074 Aachen, Germany; Graduate School of Information Science and Technology, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo 113-8656, Japan","Ullrich, S., National Institute of Informatics, 2-1-2 Hitotsubashi, Chiyoda-ku, Tokyo 101-8430, Japan, Virtual Reality Group, RWTH Aachen University, Seffenter Weg 23, 52074 Aachen, Germany; Prendinger, H., National Institute of Informatics, 2-1-2 Hitotsubashi, Chiyoda-ku, Tokyo 101-8430, Japan; Ishizuka, M., Graduate School of Information Science and Technology, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo 113-8656, Japan","This paper describes an authoring language for specifying communicative behavior and interaction of agents in virtual worlds. We focus on the popular three-dimensional (3D) multi-user online world ""Second Life"" and the emerging ""OpenSimulator"" project. While tools for designing avatars and in-world objects exist, technology to support content creators in scripting (computer-controlled) agents (""bots"") is currently missing. Therefore, we have implemented new client software that controls the verbal and non-verbal behavior of bots based on theMultimodal PresentationMarkup Language 3D (MPML3D). This paper compares both platforms and discusses the merits and limitations of each from the perspective of adding agents.",Agents; Authoring language; Human Factors; Metaverse; Virtual worlds,Authoring language; Authoring languages; Client software; Content creators; Human Factors; Metaverse; Multi-user; Nonverbal behavior; Second Life; Three-dimensional (3D); Virtual worlds; Cellular radio systems; Computer control systems; Human engineering; Linguistics; Speech; Three dimensional; Virtual reality,Conference Paper,Final,,Scopus,2-s2.0-67649394298
Watanave H.,26657065700;,Archidemo: Architecture in metaverse,2008,SIGGRAPH'08 - ACM SIGGRAPH 2008 Posters,,,14,,,,1,10.1145/1400885.1400901,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649300093&doi=10.1145%2f1400885.1400901&partnerID=40&md5=de86f23d2587ded0f43ab22743264501,"Tokyo Metropolitan University, 1-5-4-707 Daiba, Minato-ku Tokyo, Japan","Watanave, H., Tokyo Metropolitan University, 1-5-4-707 Daiba, Minato-ku Tokyo, Japan",Archidemo' is experimental demonstration and research project for enhancing of the possibility of the architecture and environmental design in the 3D-Internet (3Di) space.,3D; Architecture; Design; Environment; Internet,3D; Environment; Environmental design; Interactive computer graphics; Internet; Three dimensional; Architectural design,Conference Paper,Final,,Scopus,2-s2.0-67649300093
"Hirata M., Mitsubuchi K., Sueda K.",26656730900;26656798500;26656956100;,Survey of national/culture specific tendencies of avatars in the diversifying metaverse,2008,SIGGRAPH'08 - ACM SIGGRAPH 2008 Posters,,,136,,,,,10.1145/1400885.1401031,https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649249296&doi=10.1145%2f1400885.1401031&partnerID=40&md5=0332e4ecd3abaccbcc8e30763e0fde08,"Digital Hollywood Univ., Japan; University of Tokyo, Japan","Hirata, M., Digital Hollywood Univ., Japan; Mitsubuchi, K., Digital Hollywood Univ., Japan; Sueda, K., University of Tokyo, Japan",[No abstract available],,,Conference Paper,Final,,Scopus,2-s2.0-67649249296
Bolas C.K.,26326745800;,Avatar personas of second life,2008,"Proceedings of the 2008 International Conference on Computer Graphics and Virtual Reality, CGVR 2008",,,,93,98,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-62649144159&partnerID=40&md5=4643305cb41a03f66a5a2642bcff6a21,"People Path, LLC, Lawrence, KS, United States","Bolas, C.K., People Path, LLC, Lawrence, KS, United States","This paper presents the first overview of on-going research in the metaverse of Second Life by revealing the six avatar personas that are present in-world. An understanding of these personas serves as an important and necessary first step for those interested in exploring business and innovation opportunities in virtual worlds such as Second Life. Cultural anthropologists have been studying virtual realities since the 1980s when researchers saw them as a next step in the cultural evolution of the ""us."" In this study, anthropological research methods such as participant observation and interviewing were used to log over 400 in-world research hours to create these personas. The six personas present in Second Life include Role Player, Creator, Explorer, Real Player, Entrepreneur, and Drifter. Avatars also evolve into different personas as residents' interests change and social evolution occurs.",Anthropology; Avatar; Metaverse; Persona; Second life; Virtual reality,Anthropology; Avatar; Metaverse; Persona; Second life; Virtual reality,Conference Paper,Final,,Scopus,2-s2.0-62649144159
"Kumar S., Chhugani J., Kim C., Kim D., Nguyen A., Dubey P., Bienia C., Kim Y.",57220592123;6506913869;55697736800;55696740400;14029161300;7102976269;24922835000;55699563900;,Second life and the new generation of virtual worlds,2008,Computer,41,9,,46,53,,78,10.1109/MC.2008.398,https://www.scopus.com/inward/record.uri?eid=2-s2.0-52449133149&doi=10.1109%2fMC.2008.398&partnerID=40&md5=431358fa19a89b39a0b3ed0a4cde4890,"Intel's Microprocessor Technology Lab., Santa Clara, CA, United States; Department of Computer Science, Princeton University, Princeton, NJ, United States; Department of Computer Science, University of Maryland, College Park, MD, United States","Kumar, S., Intel's Microprocessor Technology Lab., Santa Clara, CA, United States; Chhugani, J., Intel's Microprocessor Technology Lab., Santa Clara, CA, United States; Kim, C., Intel's Microprocessor Technology Lab., Santa Clara, CA, United States; Kim, D., Intel's Microprocessor Technology Lab., Santa Clara, CA, United States; Nguyen, A., Intel's Microprocessor Technology Lab., Santa Clara, CA, United States; Dubey, P., Intel's Microprocessor Technology Lab., Santa Clara, CA, United States; Bienia, C., Department of Computer Science, Princeton University, Princeton, NJ, United States; Kim, Y., Department of Computer Science, University of Maryland, College Park, MD, United States","Unlike online games, metaverses present a single seamless, persistent world where users can transparently roam around without predefined objectives. An analysis of Second Life illustrates the demands such applications place on clients, servers, and the network and suggests possible optimizations. ? 2008 IEEE.",Avatars; Computational modeling; Game technology; Games; Graphics; Metaverses; Second Life; Servers; Throughput; Tiles; Virtual worlds,,Article,Final,,Scopus,2-s2.0-52449133149
"Chodos D., Stroulia E.",24802012500;6603883706;,Second life gift registry: Bringing retail web applications into the metaverse,2008,"Proceedings - 2008 IEEE Congress on Services, SERVICES 2008",PART 1,,4578324,199,206,,1,10.1109/SERVICES-1.2008.72,https://www.scopus.com/inward/record.uri?eid=2-s2.0-51749087475&doi=10.1109%2fSERVICES-1.2008.72&partnerID=40&md5=b7c3e403bbdf9bc75916e51a50ceafc4,"Department of Computing Science, University of Alberta, Edmonton, AB, Canada","Chodos, D., Department of Computing Science, University of Alberta, Edmonton, AB, Canada; Stroulia, E., Department of Computing Science, University of Alberta, Edmonton, AB, Canada","The combination of realistic virtual environments and product information offers a compelling new medium for consumers to shop for products. Specifically, by combining the experience of exploring a virtual house with retail information on items in that house, a consumer can virtually populate a house with desired items. This is particularly appealing for people, such as a couple getting married, who are looking to furnish an entire house with newly-purchased items. The system proposed in this paper provides this combination of realistic, 3D visualization and detailed product information. It uses Second Life to provide the realistic user interface, and a REST-style web-based application to create connections between this platform and publicly-available retailer APIs. In cases where a retailer API is unavailable, HTML wrapping may be used to obtain equivalent information. The economic viability of the concept is examined through a business case study. ? 2008 IEEE.",,Computer networks; Markup languages; Three dimensional computer graphics; User interfaces; Virtual reality; World Wide Web; Product information; Second life; Virtual environments; Sales,Conference Paper,Final,,Scopus,2-s2.0-51749087475
Hassler S.,24780681500;,"The future of code, digital and genetic",2008,IEEE Spectrum,45,9,,9,,,1,10.1109/MSPEC.2008.4607913,https://www.scopus.com/inward/record.uri?eid=2-s2.0-51649092602&doi=10.1109%2fMSPEC.2008.4607913&partnerID=40&md5=54c5b73da3179730114e5f7b37fe0027,,"Hassler, S.","The crowd at this summer's Brainstorm Tech Conference, organized by Fortune magazine, was atwitter with social networking and mobile technologies and the myriad other ways in which we continue to tether ourselves to the Internet and one another. We were, of course, at Half Moon Bay, Calif., near the U.S. epicenter of the metaverse, Silicon Valley. ? 2008 IEEE.",,Mobile technologies; Silicon valley; Social networking; Silicon,Article,Final,,Scopus,2-s2.0-51649092602
Papagiannidis S.,8848778400;,From 2D to 3D: Making the transition from web to metaverse retailing,2008,Cutter IT Journal,21,9,,14,18,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-54249167547&partnerID=40&md5=363836194531de7ab244a67a3cef779f,"Newcastle University, Business School, United Kingdom","Papagiannidis, S., Newcastle University, Business School, United Kingdom",[No abstract available],,,Article,Final,,Scopus,2-s2.0-54249167547
"Boulos M.N.K., Scotch M., Cheung K.-H., Burden D.",35268147800;14819997200;7402406608;23491210800;,Web GIS in practice VI: A demo playlist of geo-mashups for public health neogeographers,2008,International Journal of Health Geographics,7,,38,,,,38,10.1186/1476-072X-7-38,https://www.scopus.com/inward/record.uri?eid=2-s2.0-48749120108&doi=10.1186%2f1476-072X-7-38&partnerID=40&md5=37b7a2078849af55be45483b7e7ed538,"Faculty of Health and Social Work, University of Plymouth, Drake Circus, Plymouth, Devon PL4 8AA, United Kingdom; Center for Medical Informatics, School of Medicine, Yale University, New Haven, CT, United States; Department of Anesthesiology and Genetics, School of Medicine, Yale University, New Haven, CT, United States; Daden Limited, 103 Oxford Rd., Moseley, Birmingham B13 9SG, United Kingdom","Boulos, M.N.K., Faculty of Health and Social Work, University of Plymouth, Drake Circus, Plymouth, Devon PL4 8AA, United Kingdom; Scotch, M., Center for Medical Informatics, School of Medicine, Yale University, New Haven, CT, United States; Cheung, K.-H., Center for Medical Informatics, School of Medicine, Yale University, New Haven, CT, United States, Department of Anesthesiology and Genetics, School of Medicine, Yale University, New Haven, CT, United States; Burden, D., Daden Limited, 103 Oxford Rd., Moseley, Birmingham B13 9SG, United Kingdom","Mashup' was originally used to describe the mixing together of musical tracks to create a new piece of music. The term now refers to Web sites or services that weave data from different sources into a new data source or service. Using a musical metaphor that builds on the origin of the word 'mashup', this paper presents a demonstration ""playlist"" of four geo-mashup vignettes that make use of a range of Web 2.0, Semantic Web, and 3-D Internet methods, with outputs/ end-user interfaces spanning the flat Web (two-dimensional - 2-D maps), a three-dimensional - 3-D mirror world (Google Earth) and a 3-D virtual world (Second Life?). The four geo-mashup ""songs"" in this ""playlist"" are: 'Web 2.0 and GIS (Geographic Information Systems) for infectious disease surveillance', 'Web 2.0 and GIS for molecular epidemiology', 'Semantic Web for GIS mashup', and 'From Yahoo! Pipes to 3-D, avatar-inhabited geo-mashups'. It is hoped that this showcase of examples and ideas, and the pointers we are providing to the many online tools that are freely available today for creating, sharing and reusing geo-mashups with minimal or no coding, will ultimately spark the imagination of many public health practitioners and stimulate them to start exploring the use of these methods and tools in their day-to-day practice. The paper also discusses how today's Web is rapidly evolving into a much more intensely immersive, mixed-reality and ubiquitous socio-experiential Metaverse that is heavily interconnected through various kinds of user-created mashups. ? 2008 Boulos et al; licensee BioMed Central Ltd.",,article; communicable disease; computer program; geographic information system; health survey; human; Internet; methodology; public health; Communicable Diseases; Geographic Information Systems; Humans; Internet; Population Surveillance; Public Health; Software Design,Editorial,Final,,Scopus,2-s2.0-48749120108
Leenes R.,22334092700;,Privacy in the metaverse: Regulating a complex social construct in a virtual world,2008,IFIP International Federation for Information Processing,262,,,95,112,,,10.1007/978-0-387-79026-8_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-45949084200&doi=10.1007%2f978-0-387-79026-8_7&partnerID=40&md5=2f2b3f2d2f8d0e0a9b419c69a38a5008,"TILT - Tilburg Institute for Law, Technology, and Society, Tilburg University, Tilburg, Netherlands","Leenes, R., TILT - Tilburg Institute for Law, Technology, and Society, Tilburg University, Tilburg, Netherlands",Second Life by many is considered to be more than just a game. It is a social microcosmos in which fairly normal people behave normally and where (complex) social behaviour develops. As such it is an interesting environment to study social and legal phenomena. In this chapter we will look at the privacy and how privacy is regulated within Second Life. The analysis will point out shortcomings of the current mode of governance within Second Life and point at near future changes therein. ? 2008 International Federation for Information Processing.,,Information science; Virtual reality; Education; Information science; Virtual reality; Current mode; Second Life; Social behaviour; Virtual worlds; Interactive computer graphics; Interactive computer graphics,Conference Paper,Final,,Scopus,2-s2.0-45949084200
"Papagiannidis S., Bourlakis M., Li F.",8848778400;6506844873;36071633100;,"Making real money in virtual worlds: MMORPGs and emerging business opportunities, challenges and ethical implications in metaverses",2008,Technological Forecasting and Social Change,75,5,,610,622,,73,10.1016/j.techfore.2007.04.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-44449124724&doi=10.1016%2fj.techfore.2007.04.007&partnerID=40&md5=c08dba6757b23d14366aa79a5d0e910f,"Business School, Newcastle University, Armstrong Building, Newcastle upon Tyne, NE1 7RU, United Kingdom; Brunel University, Business School, Elliott Jaques Building, Uxbridge, Middlesex UB8 3PH, United Kingdom","Papagiannidis, S., Business School, Newcastle University, Armstrong Building, Newcastle upon Tyne, NE1 7RU, United Kingdom; Bourlakis, M., Brunel University, Business School, Elliott Jaques Building, Uxbridge, Middlesex UB8 3PH, United Kingdom; Li, F., Business School, Newcastle University, Armstrong Building, Newcastle upon Tyne, NE1 7RU, United Kingdom","Today, millions of people from around the globe play online role playing games (MMORPG), in which a large number of players interact with one another in a virtual world, either using their existing identities in the physical world, or more often than not, through new virtual identities that might not even be remotely linked to the identities of the players in the physical world. The number of users is growing at an exponential rate and we are probably on the verge of a new development that is going to be as significant as the Internet itself. This positioning paper will discuss the business opportunities and challenges of such a virtual world, that of Second Life, and will examine the resultant corporate social responsibility implications focusing on the ethical and policy-related ones. This will help to identify important research questions that need to be systematically addressed. ? 2007.",Corporate social responsibility and ethics; Entrepreneur; Massively multiplayer online role playing game (MMORPG); Metaverse; Virtual world,Human computer interaction; Internet; Social aspects; Virtual reality; Corporate social responsibility; Massively multiplayer online role playing game; Virtual identities; Online systems; corporate strategy; entrepreneur; ethics; Internet; social change,Article,Final,,Scopus,2-s2.0-44449124724
MaeIntyre J.,34067780500;,Microst's shiny new toy,2008,Technology Review,111,2,,,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-69449104681&partnerID=40&md5=0671f78a50d29a9328a3409e87a8d4cc,,"MaeIntyre, J.","Microsoft has successfully developed photosynth, a technology that analyzes related images and links them together to re-create physical environments in dazzling virtual space. This technology can provide immensely rich virtual models of every interesting part of earth whereby contributing to the wealth of local mapping and image data available. Microsoft intends to revolutionize the way photo sets are packaged and displayed. The process of grouping together images on the basis of matching visual elements thus, gather stream until a whole path can be recreated from paving stones. Photosynth produces a lifelike 3-D interface from the 2-D medium of photography. Currently, Photosynth can only be seen in an online demo, it coordinates a wealth of terrestrial photographic material giving rise to a light weight metaverse.",,Image data; Light weight; Local mapping; MicroSoft; Paving stone; Photographic materials; Physical environments; Virtual models; Virtual spaces; Visual elements; Three dimensional,Review,Final,,Scopus,2-s2.0-69449104681
Spence E.H.,7003414354;,Meta ethics for the metaverse: The ethics of virtual worlds,2008,Frontiers in Artificial Intelligence and Applications,175,1,,3,12,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875962587&partnerID=40&md5=4cbbb0aa7f48f7150e6ca35100083149,"Department of Philosophy, University of Twente, Netherlands","Spence, E.H., Department of Philosophy, University of Twente, Netherlands","After a brief introduction that sets out the overall argument of the paper in summary, the second part of the paper will offer a meta-ethical framework based on the moral theory of Alan Gewirth, necessary for determining what, if any, ought to be the ethics that guide the conduct of people participating in virtual worlds in their roles as designers, administrators and players or avatars. As virtual worlds and the World Wide Web generally, are global in scope, reach and use, Gewirth's theory, which offers a supreme principle of morality, the Principle of Generic Consistency (PGC) that establishes universal rights for all persons always and everywhere, is particularly suitable for this task. The paper will show that persons both in the real world and in virtual worlds have rights to freedom and wellbeing. Strictly with regard to agency those rights are merely prima facie but with regard to personhood framed around the notion of self-respect those rights are absolute. The third and final part of the paper will examine in more practical detail and application why and how designers, administrators and avatars of virtual worlds are rationally committed on the basis of their own intrinsic purposive agency to ethical norms of conduct that require the universal respect of the rights of freedom and well-being of all agents, including their own. Using Alan Gewirth's argument for the Principle of Generic Consistency (Reason and Morality, 1978) and my expanded argument for the PGC in my Ethics Within Reason: A Neo-Gewirthian Approach (2006), the paper will specifically seek to demonstrate that insofar as avatars can be viewed as virtual representations or modes of presentations of real people (at least with regard to some virtual worlds in which the virtual agency of the avatar can be considered an extension of the agency of the person instantiating the avatar in the real world) and thus can and must be perceived as virtual purposive agents, then they have moral rights and obligations similar to those of their real counterparts. Finally, the paper will show how the rules of virtual worlds as instantiated by the designers' code and the administrators' end-user license agreement (EULA), must always be consistent with and comply with the requirements of universal morality as established on the basis of the PGC. When the two come into conflict, the PGC, as the supreme principle of morality, is always overriding. ? 2008 The authors and IOS Press. All rights reserved.",Ethics; Gewirth; virtual worlds,Behavioral research; Computation theory; Copyrights; Human computer interaction; Philosophical aspects; Virtual reality; World Wide Web; End user license agreements; Ethics; Gewirth; Moral right; Moral theory; Virtual representations; Virtual worlds; Well being; Interactive computer graphics,Conference Paper,Final,,Scopus,2-s2.0-84875962587
Volk D.,34977730000;,Game development 2.0,2007,"Proceedings of the 2007 Conference on Future Play, Future Play '07",,,,225,228,,2,10.1145/1328202.1328245,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954615587&doi=10.1145%2f1328202.1328245&partnerID=40&md5=a063e60f7a209eab4f9f4d569401ac27,"Institute for Software Technology, Universitaet der Bundeswehr Muenchen, 85577 Neubiberg, Germany","Volk, D., Institute for Software Technology, Universitaet der Bundeswehr Muenchen, 85577 Neubiberg, Germany","In recent years a massive trend towards collaboratively created game modifications has appeared and changed the very way the game industry is working. A similar tendency towards user-participation is visible within the Web 2.0 movement, which is considered to be the Internet's next evolutionary step. This paper argues that both trends are caused by the same phenomenon. By bringing the two trends together, the concepts of what could be called Game Development 2.0 will become clear. In consequence, this also allows to interpret its latest occurence as in-world player-centric and collaborative development as an important step towards an upcoming 'Web 3D 2.0'. Copyright 2007 ACM.",game development 2.0; metaverse; web 2.0; web 3D 2.0,Collaborative development; Game development; Game industry; Web 2.0; World Wide Web; Three dimensional,Conference Paper,Final,,Scopus,2-s2.0-77954615587
"Boulos M., Burden D.",35268147800;23491210800;,Web GIS in practice V: 3-D interactive and real-time mapping in second life,2007,International Journal of Health Geographics,6,,51,,,,38,10.1186/1476-072X-6-51,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38849176228&doi=10.1186%2f1476-072X-6-51&partnerID=40&md5=4cc916e15c198fb6dbb822d911d27729,"Faculty of Health and Social Work, University of Plymouth, Drake Circus, Plymouth, Devon PL4 8AA, United Kingdom; Daden Limited, 103 Oxford Rd., Moseley, Birmingham B13 9SG, United Kingdom","Boulos, M., Faculty of Health and Social Work, University of Plymouth, Drake Circus, Plymouth, Devon PL4 8AA, United Kingdom; Burden, D., Daden Limited, 103 Oxford Rd., Moseley, Birmingham B13 9SG, United Kingdom","This paper describes technologies from Daden Limited for geographically mapping and accessing live news stories/feeds, as well as other real-time, real-world data feeds (e.g., Google Earth KML feeds and GeoRSS feeds) in the 3-D virtual world of Second Life, by plotting and updating the corresponding Earth location points on a globe or some other suitable form (in-world), and further linking those points to relevant information and resources. This approach enables users to visualise, interact with, and even walk or fly through, the plotted data in 3-D. Users can also do the reverse: put pins on a map in the virtual world, and then view the data points on the Web in Google Maps or Google Earth. The technologies presented thus serve as a bridge between mirror worlds like Google Earth and virtual worlds like Second Life. We explore the geo-data display potential of virtual worlds and their likely convergence with mirror worlds in the context of the future 3-D Internet or Metaverse, and reflect on the potential of such technologies and their future possibilities, e.g. their use to develop emergency/public health virtual situation rooms to effectively manage emergencies and disasters in real time. The paper also covers some of the issues associated with these technologies, namely user interface accessibility and individual privacy. ? 2007 Boulos and Burden; licensee BioMed Central Ltd.",,"article; computer graphics; computer interface; computer program; factual database; geographic information system; human; Internet; United Kingdom; Computer Graphics; Databases, Factual; Geographic Information Systems; Great Britain; Humans; Internet; Software; User-Computer Interface",Editorial,Final,,Scopus,2-s2.0-38849176228
Abeles T.P.,6603370980;,Education unbound,2007,On the Horizon,15,4,,199,203,,2,10.1108/10748120710836219,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34748861608&doi=10.1108%2f10748120710836219&partnerID=40&md5=c7fe299dafb3b7674b1b24fecf34f74f,"Sagacity, Inc., Minneapolis, Minnesota, United States","Abeles, T.P., Sagacity, Inc., Minneapolis, Minnesota, United States","The rapid rise of Multi-User Virtual Environments (MUVEs) or Metaverses, presents opportunities and challenges for the societies in the physical world and a particular challenge for education. This work aims to identify the key issues confronting education as it moves from its cohort model, K-16, to an evolving life long experience, P-to-Gray, decoupling certification from knowledge acquisition. Experimentation with MUVEs in education are combined with a review of the critical literature to yield an analysis of the current situation. Education is evolving, and the MUVE's are also evolving both technically and culturally. Thus we will see significant changes in both current, brick space, education as well as e-learning. Education will be life-long learning, often ungraded, and blended between brick spaced learning and participation in virtual cultural experiences. Mirror worlds, or simulations, will be important, not just in the current ¡°brick-space¡±, but also in the virtual worlds which will be accepted as one accepts ¡°travel abroad¡±. ? 2007, Emerald Group Publishing Limited",Change management; E-learning; Education; Experiential learning,,Review,Final,,Scopus,2-s2.0-34748861608
"Doyle D., Kim T.",36442213000;57192901324;,Embodied narrative: The virtual nomad and the meta dreamer,2007,International Journal of Performance Arts and Digital Media,3,02-03,,209,222,,11,10.1386/padm.3.2-3.209_1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008756579&doi=10.1386%2fpadm.3.2-3.209_1&partnerID=40&md5=2a247d5b532aad267297ccea0d16b047,"The SMARTlab, Digital Media Institute, 4-6 University Way, LONDON, E16, United Kingdom; University of Wolverhampton, School of Art and Design, Molineux Street, WOLVERHAMPTON, WV1 1SB, United Kingdom","Doyle, D., The SMARTlab, Digital Media Institute, 4-6 University Way, LONDON, E16, United Kingdom; Kim, T., University of Wolverhampton, School of Art and Design, Molineux Street, WOLVERHAMPTON, WV1 1SB, United Kingdom","This article charts the relationship between and the experience of real and virtual worlds. Like the travellers of the earlier centuries who returned with information and curiosities from distant and previously undiscovered lands we bring back with us our narratives, our stories and descriptions of our experience of embodiment in these new landscapes. We find that inhabiting the spaces of these virtual worlds is challenging our relationship to our own. We explore, through the construction of digital narratives, the experience and journey of Wanderingfictions in her metaverse, Second Life and Dongdong¡¯s trans-national travel in the physical world exploring the Web 2.0 environment as metadata to articulate the user¡¯s virtual identity. Data was collected in the form of narrative; each took their turn to write from their world; like a collection of postcards or snapshots of experience. Through the emerging dialogue we discover a combination of dis-ease, fear, but also wonderment of this new shift, this new view, where we are able to live in and embody multiple realities. Exploring these various conditions challenges us to investigate our physical availabilities as travellers in these virtual environments. A non-human body as metadata offers us resources for thinking in more sophisticated ways about virtual technologies. User Generated Contents and 3D Virtual Worlds such as Second Life bring new forms of participation. These two main waves on the net are contributing to the systems of informatics in their structures, behaviours and interactions of digital knowledge and narrative. The narrative reveals the complexities of dealing with identity politics in the environments of virtual spaces. It observes how our early, though rapidly changing, sensibilities are responding. We are in transition. This article finds that we will only truly become post-human when our memory of being ¡®only human¡¯ finally fades. ? 2007 Taylor & Francis Group, LLC. All rights reserved.",Embodiment; Metadata; Non-human body web 2.0; UGC (user generated contents); Virtual worlds,,Article,Final,,Scopus,2-s2.0-85008756579
